Offence_Category,Year,Offender_Count,Offender_Rate
091 Obtain benefit by deception,2019–20,8945.0,
092 Forgery and counterfeiting,2019–20,520.0,
093 Deceptive business/government practices,2019–20,156.0,
099 Other fraud and deception offences,2019–20,1818.0,
10 Illicit drug offences(l),2019–20,74443.0,
102 Deal or traffic in illicit drugs,2019–20,10428.0,
103 Manufacture or cultivate illicit drugs,2019–20,5135.0,
104 Possess and/or use illicit drugs,2019–20,50792.0,
11 Weapons/explosives,2019–20,15018.0,
12 Property damage and environmental pollution,2019–20,14281.0,
13 Public order offences(m),2019–20,40975.0,
131 Disorderly conduct,2019–20,20067.0,
132 Regulated public order offences,2019–20,11159.0,
133 Offensive conduct,2019–20,9751.0,
15 Offences against justice(n)(o),2019–20,27695.0,
153 Breach of violence and non-violence orders,2019–20,15818.0,
156 Offences against justice procedures,2019–20,8314.0,
16 Miscellaneous offences,2019–20,18353.0,
Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,2019–20,,
01 Homicide and related offences(e),2020–21,707.0,
011 Murder,2020–21,263.0,
012 Attempted Murder,2020–21,182.0,
013 Manslaughter and driving causing death,2020–21,266.0,
02 Acts intended to cause injury(f) ,2020–21,82942.0,
021 Assault,2020–21,74916.0,
029 Other acts intended to cause injury,2020–21,8023.0,
03 Sexual assault and related offences(g),2020–21,8982.0,
031 Sexual assault,2020–21,6068.0,
032 Non–assaultive sexual offences,2020–21,2918.0,
04 Dangerous/negligent acts(h),2020–21,2014.0,
05 Abduction/harassment,2020–21,4285.0,
06 Robbery/extortion,2020–21,3350.0,
07 Unlawful entry with intent,2020–21,10200.0,
08 Theft(i)(j),2020–21,31128.0,
081 Motor vehicle theft,2020–21,4480.0,
082 Theft (except motor vehicles),2020–21,22468.0,
083 Receive or handle proceeds of crime,2020–21,3938.0,
09 Fraud/deception(k),2020–21,9380.0,
091 Obtain benefit by deception,2020–21,7393.0,
092 Forgery and counterfeiting,2020–21,506.0,
093 Deceptive business/government practices,2020–21,110.0,
099 Other fraud and deception offences,2020–21,1292.0,
10 Illicit drug offences(l),2020–21,62698.0,
102 Deal or traffic in illicit drugs,2020–21,9259.0,
103 Manufacture or cultivate illicit drugs,2020–21,5578.0,
104 Possess and/or use illicit drugs,2020–21,40869.0,
11 Weapons/explosives,2020–21,13105.0,
12 Property damage and environmental pollution,2020–21,14524.0,
13 Public order offences(m),2020–21,38151.0,
131 Disorderly conduct,2020–21,20435.0,
132 Regulated public order offences,2020–21,9949.0,
133 Offensive conduct,2020–21,7766.0,
15 Offences against justice(n)(o),2020–21,28852.0,
153 Breach of violence and non-violence orders,2020–21,18211.0,
156 Offences against justice procedures,2020–21,7766.0,
16 Miscellaneous offences,2020–21,31209.0,
Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,2020–21,,
01 Homicide and related offences(e),2021–22,635.0,2.8
011 Murder,2021–22,261.0,1.2
012 Attempted Murder,2021–22,143.0,0.6
013 Manslaughter and driving causing death,2021–22,228.0,1.0
02 Acts intended to cause injury(f) ,2021–22,83926.0,370.7
021 Assault,2021–22,75635.0,334.1
029 Other acts intended to cause injury,2021–22,8290.0,36.6
03 Sexual assault and related offences(g),2021–22,8995.0,39.7
031 Sexual assault,2021–22,6130.0,27.1
032 Non–assaultive sexual offences,2021–22,2866.0,12.7
04 Dangerous/negligent acts(h),2021–22,2067.0,9.1
05 Abduction/harassment,2021–22,4200.0,18.6
06 Robbery/extortion,2021–22,3479.0,15.4
07 Unlawful entry with intent,2021–22,10519.0,46.5
08 Theft(i)(j),2021–22,29571.0,130.6
081 Motor vehicle theft,2021–22,4770.0,21.1
082 Theft (except motor vehicles),2021–22,21116.0,93.3
083 Receive or handle proceeds of crime,2021–22,3461.0,15.3
09 Fraud/deception(k),2021–22,8417.0,37.2
091 Obtain benefit by deception,2021–22,6801.0,30.0
092 Forgery and counterfeiting,2021–22,396.0,1.7
093 Deceptive business/government practices,2021–22,85.0,0.4
099 Other fraud and deception offences,2021–22,1061.0,4.7
10 Illicit drug offences(l),2021–22,50920.0,224.9
102 Deal or traffic in illicit drugs,2021–22,7203.0,31.8
103 Manufacture or cultivate illicit drugs,2021–22,4306.0,19.0
104 Possess and/or use illicit drugs,2021–22,33790.0,149.3
11 Weapons/explosives,2021–22,12072.0,53.3
12 Property damage and environmental pollution,2021–22,14411.0,63.7
13 Public order offences(m),2021–22,34090.0,150.6
131 Disorderly conduct,2021–22,19037.0,84.1
